anzsco_code,anzsco_name,anzsco_name_2016,anzsco_name_2011,level,nfd
4315,Waiters,Waiters,Waiters,4,0
4319,Other Hospitality Workers,Other Hospitality Workers,Other Hospitality Workers,4,0
4400,"Protective Service Workers, nfd","Protective Service Workers, nfd",Protective Service Workers nfd,4,1
4410,"Defence Force Members, Fire Fighters and Police, nfd","Defence Force Members, Fire Fighters and Police, nfd","Defence Force Members, Fire Fighters and Police nfd",4,1
4411,Defence Force Members - Other Ranks,Defence Force Members - Other Ranks,Defence Force Members - Other Ranks,4,0
4412,Fire and Emergency Workers,Fire and Emergency Workers,Fire and Emergency Workers,4,0
4413,Police,Police,Police,4,0
4420,"Prison and Security Officers, nfd","Prison and Security Officers, nfd",Prison and Security Officers nfd,4,1
4421,Prison Officers,Prison Officers,Prison Officers,4,0
4422,Security Officers and Guards,Security Officers and Guards,Security Officers and Guards,4,0
4500,"Sports and Personal Service Workers, nfd","Sports and Personal Service Workers, nfd",Sports and Personal Service Workers nfd,4,1
4510,"Personal Service and Travel Workers, nfd","Personal Service and Travel Workers, nfd",Personal Service and Travel Workers nfd,4,1
4511,Beauty Therapists,Beauty Therapists,Beauty Therapists,4,0
4512,Driving Instructors,Driving Instructors,Driving Instructors,4,0
4513,Funeral Workers,Funeral Workers,Funeral Workers,4,0
4514,"Gallery, Museum and Tour Guides","Gallery, Museum and Tour Guides","Gallery, Museum and Tour Guides",4,0
4515,Personal Care Consultants,Personal Care Consultants,Personal Care Consultants,4,0
4516,Tourism and Travel Advisers,Tourism and Travel Advisers,Tourism and Travel Advisers,4,0
4517,Travel Attendants,Travel Attendants,Travel Attendants,4,0
4518,Other Personal Service Workers,Other Personal Service Workers,Other Personal Service Workers,4,0
4520,"Sports and Fitness Workers, nfd","Sports and Fitness Workers, nfd",Sports and Fitness Workers nfd,4,1
4521,Fitness Instructors,Fitness Instructors,Fitness Instructors,4,0
4522,Outdoor Adventure Guides,Outdoor Adventure Guides,Outdoor Adventure Guides,4,0
4523,"Sports Coaches, Instructors and Officials","Sports Coaches, Instructors and Officials","Sports Coaches, Instructors and Officials",4,0
4524,Sportspersons,Sportspersons,Sportspersons,4,0
5000,"Clerical and Administrative Workers, nfd","Clerical and Administrative Workers, nfd",Clerical and Administrative Workers nfd,4,1
5100,"Office Managers and Program Administrators, nfd","Office Managers and Program Administrators, nfd",Office Managers and Program Administrators nfd,4,1
5111,"Contract, Program and Project Administrators","Contract, Program and Project Administrators","Contract, Program and Project Administrators",4,0
5120,"Office and Practice Managers, nfd","Office and Practice Managers, nfd",Office and Practice Managers nfd,4,1
5121,Office Managers,Office Managers,Office Managers,4,0
5122,Practice Managers,Practice Managers,Practice Managers,4,0
5210,"Personal Assistants and Secretaries, nfd","Personal Assistants and Secretaries, nfd",Personal Assistants and Secretaries nfd,4,1
5211,Personal Assistants,Personal Assistants,Personal Assistants,4,0
5212,Secretaries,Secretaries,Secretaries,4,0
5300,"General Clerical Workers, nfd","General Clerical Workers, nfd",General Clerical Workers nfd,4,1
5311,General Clerks,General Clerks,General Clerks,4,0
5321,Keyboard Operators,Keyboard Operators,Keyboard Operators,4,0
5400,"Inquiry Clerks and Receptionists, nfd","Inquiry Clerks and Receptionists, nfd",Inquiry Clerks and Receptionists nfd,4,1
5410,"Call or Contact Centre Information Clerks, nfd","Call or Contact Centre Information Clerks, nfd",Call or Contact Centre Information Clerks nfd,4,1
5411,Call or Contact Centre Workers,Call or Contact Centre Workers,Call or Contact Centre Workers,4,0
5412,Information Officers,Information Officers,Inquiry Clerks,4,0
5421,Receptionists,Receptionists,Receptionists,4,0
5500,"Numerical Clerks, nfd","Numerical Clerks, nfd",Numerical Clerks nfd,4,1
5510,"Accounting Clerks and Bookkeepers, nfd","Accounting Clerks and Bookkeepers, nfd",Accounting Clerks and Bookkeepers nfd,4,1
5511,Accounting Clerks,Accounting Clerks,Accounting Clerks,4,0
5512,Bookkeepers,Bookkeepers,Bookkeepers,4,0
5513,Payroll Clerks,Payroll Clerks,Payroll Clerks,4,0
5520,"Financial and Insurance Clerks, nfd","Financial and Insurance Clerks, nfd",Financial and Insurance Clerks nfd,4,1
5521,Bank Workers,Bank Workers,Bank Workers,4,0
5522,Credit and Loans Officers,Credit and Loans Officers (Aus) / Finance Clerks (NZ),Credit and Loans Officers (Aus) / Finance Clerks (NZ),4,0
5523,"Insurance, Money Market and Statistical Clerks","Insurance, Money Market and Statistical Clerks","Insurance, Money Market and Statistical Clerks",4,0
5610,"Clerical and Office Support Workers, nfd","Clerical and Office Support Workers, nfd",Clerical and Office Support Workers nfd,4,1
5611,Betting Clerks,Betting Clerks,Betting Clerks,4,0
5612,Couriers and Postal Deliverers,Couriers and Postal Deliverers,Couriers and Postal Deliverers,4,0
5613,Filing and Registry Clerks,Filing and Registry Clerks,Filing and Registry Clerks,4,0
5614,Mail Sorters,Mail Sorters,Mail Sorters,4,0
5615,Survey Interviewers,Survey Interviewers,Survey Interviewers,4,0
5616,Switchboard Operators,Switchboard Operators,Switchboard Operators,4,0
5619,Other Clerical and Office Support Workers,Other Clerical and Office Support Workers,Other Clerical and Office Support Workers,4,0
5900,"Other Clerical and Administrative Workers, nfd","Other Clerical and Administrative Workers, nfd",Other Clerical and Administrative Workers nfd,4,1
